path,subject,task,session,run
/Volumes/illinois-las-psych-gratton/networks-pm/replica/pm/derivatives/FCPreproc-24.1.1/sub-1/ses-1/func/,1,resting,1,NaN
/Volumes/illinois-las-psych-gratton/networks-pm/replica/pm/derivatives/FCPreproc-24.1.1/sub-1/ses-5/func/,1,resting,5,NaN
/Volumes/illinois-las-psych-gratton/networks-pm/replica/pm/derivatives/FCPreproc-24.1.1/sub-1/ses-7/func/,1,resting,7,NaN
/Volumes/illinois-las-psych-gratton/networks-pm/replica/pm/derivatives/FCPreproc-24.1.1/sub-1/ses-11/func/,1,resting,11,NaN
/Volumes/illinois-las-psych-gratton/networks-pm/replica/pm/derivatives/FCPreproc-24.1.1/sub-1/ses-14/func/,1,resting,14,NaN
/Volumes/illinois-las-psych-gratton/networks-pm/replica/pm/derivatives/FCPreproc-24.1.1/sub-1/ses-17/func/,1,resting,17,NaN
/Volumes/illinois-las-psych-gratton/networks-pm/replica/pm/derivatives/FCPreproc-24.1.1/sub-1/ses-18/func/,1,resting,18,NaN
/Volumes/illinois-las-psych-gratton/networks-pm/replica/pm/derivatives/FCPreproc-24.1.1/sub-1/ses-20/func/,1,resting,20,NaN
/Volumes/illinois-las-psych-gratton/networks-pm/replica/pm/derivatives/FCPreproc-24.1.1/sub-1/ses-2/func/,1,resting,2,NaN
/Volumes/illinois-las-psych-gratton/networks-pm/replica/pm/derivatives/FCPreproc-24.1.1/sub-1/ses-3/func/,1,resting,3,NaN
/Volumes/illinois-las-psych-gratton/networks-pm/replica/pm/derivatives/FCPreproc-24.1.1/sub-1/ses-4/func/,1,resting,4,NaN
/Volumes/illinois-las-psych-gratton/networks-pm/replica/pm/derivatives/FCPreproc-24.1.1/sub-1/ses-6/func/,1,resting,6,NaN
/Volumes/illinois-las-psych-gratton/networks-pm/replica/pm/derivatives/FCPreproc-24.1.1/sub-1/ses-8/func/,1,resting,8,NaN
/Volumes/illinois-las-psych-gratton/networks-pm/replica/pm/derivatives/FCPreproc-24.1.1/sub-1/ses-12/func/,1,resting,12,NaN
