sub,ses,task,run,filename,number_of_TRs,abnormal_TR,error_run,note,sleepiness__1_7_scale_,alertness,focus,confidence,alignment,tmask_filepath,tmask_filename,num_tps_retained,percent_tps_retained,fFD_filepath,fFD_filename,mean_fFD,max_fFD
sub-INET001,ses-1,task-rest,run-01,sub-INET001_ses-1_task-rest_run-01_bold.nii.gz,270,0,NA,NA,1,NA,NA,NA,include,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-1/func/FD_outputs/sub-INET001_ses-1_task-rest_run-01_desc-tmask_fFD.txt,sub-INET001_ses-1_task-rest_run-01_desc-tmask_fFD.txt,263,97.40740741,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-1/func/FD_outputs/sub-INET001_ses-1_task-rest_run-01_desc-fFD.txt,sub-INET001_ses-1_task-rest_run-01_desc-fFD.txt,0.026216714,0.166371296
sub-INET001,ses-1,task-rest,run-02,sub-INET001_ses-1_task-rest_run-02_bold.nii.gz,270,0,NA,NA,1,NA,NA,NA,include,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-1/func/FD_outputs/sub-INET001_ses-1_task-rest_run-02_desc-tmask_fFD.txt,sub-INET001_ses-1_task-rest_run-02_desc-tmask_fFD.txt,265,98.14814815,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-1/func/FD_outputs/sub-INET001_ses-1_task-rest_run-02_desc-fFD.txt,sub-INET001_ses-1_task-rest_run-02_desc-fFD.txt,0.024525112,0.084208082
sub-INET001,ses-1,task-rest,run-03,sub-INET001_ses-1_task-rest_run-03_bold.nii.gz,270,0,NA,NA,1,NA,NA,NA,include,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-1/func/FD_outputs/sub-INET001_ses-1_task-rest_run-03_desc-tmask_fFD.txt,sub-INET001_ses-1_task-rest_run-03_desc-tmask_fFD.txt,265,98.14814815,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-1/func/FD_outputs/sub-INET001_ses-1_task-rest_run-03_desc-fFD.txt,sub-INET001_ses-1_task-rest_run-03_desc-fFD.txt,0.024502024,0.093614131
sub-INET001,ses-1,task-rest,run-04,sub-INET001_ses-1_task-rest_run-04_bold.nii.gz,270,0,NA,NA,1,NA,NA,NA,include,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-1/func/FD_outputs/sub-INET001_ses-1_task-rest_run-04_desc-tmask_fFD.txt,sub-INET001_ses-1_task-rest_run-04_desc-tmask_fFD.txt,265,98.14814815,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-1/func/FD_outputs/sub-INET001_ses-1_task-rest_run-04_desc-fFD.txt,sub-INET001_ses-1_task-rest_run-04_desc-fFD.txt,0.021245322,0.075994406
sub-INET001,ses-1,task-rest,run-05,sub-INET001_ses-1_task-rest_run-05_bold.nii.gz,270,0,NA,NA,1,NA,NA,NA,include,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-1/func/FD_outputs/sub-INET001_ses-1_task-rest_run-05_desc-tmask_fFD.txt,sub-INET001_ses-1_task-rest_run-05_desc-tmask_fFD.txt,265,98.14814815,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-1/func/FD_outputs/sub-INET001_ses-1_task-rest_run-05_desc-fFD.txt,sub-INET001_ses-1_task-rest_run-05_desc-fFD.txt,0.019148422,0.078931099
sub-INET001,ses-1,task-rest,run-06,sub-INET001_ses-1_task-rest_run-06_bold.nii.gz,270,0,NA,NA,1,NA,NA,NA,include,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-1/func/FD_outputs/sub-INET001_ses-1_task-rest_run-06_desc-tmask_fFD.txt,sub-INET001_ses-1_task-rest_run-06_desc-tmask_fFD.txt,265,98.14814815,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-1/func/FD_outputs/sub-INET001_ses-1_task-rest_run-06_desc-fFD.txt,sub-INET001_ses-1_task-rest_run-06_desc-fFD.txt,0.022212231,0.090077786
sub-INET001,ses-2,task-rest,run-01,sub-INET001_ses-2_task-rest_run-01_bold.nii.gz,270,0,NA,NA,NaN,NA,NA,NA,include,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-2/func/FD_outputs/sub-INET001_ses-2_task-rest_run-01_desc-tmask_fFD.txt,sub-INET001_ses-2_task-rest_run-01_desc-tmask_fFD.txt,263,97.40740741,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-2/func/FD_outputs/sub-INET001_ses-2_task-rest_run-01_desc-fFD.txt,sub-INET001_ses-2_task-rest_run-01_desc-fFD.txt,0.029762273,0.172025856
sub-INET001,ses-2,task-rest,run-02,sub-INET001_ses-2_task-rest_run-02_bold.nii.gz,270,0,NA,NA,1,NA,NA,NA,include,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-2/func/FD_outputs/sub-INET001_ses-2_task-rest_run-02_desc-tmask_fFD.txt,sub-INET001_ses-2_task-rest_run-02_desc-tmask_fFD.txt,265,98.14814815,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-2/func/FD_outputs/sub-INET001_ses-2_task-rest_run-02_desc-fFD.txt,sub-INET001_ses-2_task-rest_run-02_desc-fFD.txt,0.021364665,0.071735973
sub-INET001,ses-2,task-rest,run-03,sub-INET001_ses-2_task-rest_run-03_bold.nii.gz,270,0,NA,NA,1,NA,NA,NA,include,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-2/func/FD_outputs/sub-INET001_ses-2_task-rest_run-03_desc-tmask_fFD.txt,sub-INET001_ses-2_task-rest_run-03_desc-tmask_fFD.txt,265,98.14814815,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-2/func/FD_outputs/sub-INET001_ses-2_task-rest_run-03_desc-fFD.txt,sub-INET001_ses-2_task-rest_run-03_desc-fFD.txt,0.027004412,0.095033163
sub-INET001,ses-2,task-rest,run-04,sub-INET001_ses-2_task-rest_run-04_bold.nii.gz,270,0,NA,NA,1,NA,NA,NA,include,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-2/func/FD_outputs/sub-INET001_ses-2_task-rest_run-04_desc-tmask_fFD.txt,sub-INET001_ses-2_task-rest_run-04_desc-tmask_fFD.txt,261,96.66666667,/gpfs/research/grattonlab/iNetworks/Nifti/derivatives/preproc_fmriprep-24.1.1/sub-INET001/ses-2/func/FD_outputs/sub-INET001_ses-2_task-rest_run-04_desc-fFD.txt,sub-INET001_ses-2_task-rest_run-04_desc-fFD.txt,0.030462582,0.185583586
